,stock_no,stock_name
867,04162P,T50正2凱基05售01
868,04163P,奇鋐凱基03售07
869,04164P,嘉澤凱基03售02
870,04165P,臺股指凱基03售24
871,04166P,臺股指凱基04售10
872,04169P,T50正2元大06售01
873,04170P,聚陽元大03售03
874,04171P,台積電元大03售24
875,04172P,金像電元大03售10
876,04173P,世紀鋼元大03售09
877,04174P,台灣50國泰07售02
878,04175P,聯電康和04售01
879,04176P,華新科凱基05售05
880,04177P,嘉晶凱基04售01
881,04178P,祥碩凱基04售03
882,04179P,儒鴻國票04售01
883,04180P,亞德客國票04售01
884,04181P,聯電國票04售06
885,04182P,瑞昱國票05售02
886,04183P,精元國票04售03
887,04184P,義隆國票05售01
888,04185P,大立光群益04售01
889,04186P,滬深2X元大04售04
890,04187P,國巨元大04售06
891,04188P,華新科元大04售01
892,04189P,松翰元大04售02
893,04190P,南電元大04售03
894,04191P,臺股指元大04售17
895,04192P,臺股指元大04售18
